Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Name
Ticker,ES,EVRG,EXPD,EXR,ES,EVRG,EXPD,EXR,ES,EVRG,EXPD,EXR,ES,EVRG,EXPD,EXR,ES,EVRG,EXPD,EXR,
Date,,,,,,,,,,,,,,,,,,,,,
2013-01-02,26.702529907226562,18.977628707885742,34.938011169433594,24.034137725830078,26.756177604432555,18.98407506071423,35.236990390507465,24.223280798639042,26.427591854203342,18.681102625355795,34.30587948378283,23.89717308193576,26.467827627107837,18.681102625355795,34.39984531287151,24.008050999377183,1419200,887300,2293100,486400,PG
2013-01-03,26.55498695373535,18.8680419921875,35.049041748046875,24.229812622070312,26.856748692358583,19.03564346672795,35.09175583775515,24.405908659792676,26.52145844012424,18.81002604986519,34.826943471250495,24.05371409634267,26.729339317411714,18.99051899974259,34.929450117569786,24.05371409634267,1593100,667900,2124900,680500,PG
2013-01-04,26.581809997558594,18.977628707885742,35.72388458251953,24.347204208374023,26.776278952007644,19.00985924251209,35.80930624617325,24.36676987592605,26.548281484944305,18.85515046317667,34.997790665580126,24.10588269787793,26.615338510172887,18.887380997803017,35.125923161060705,24.22980522705282,1419900,498300,1592300,459100,PG
2013-01-07,26.29347038269043,18.81002426147461,35.33948516845703,24.39286231994629,26.541587100005565,18.90671707964658,35.61283843800317,24.523303438230883,26.21300140959331,18.758454676481833,35.211352656335535,24.099364827796258,26.447703646985968,18.90671707964658,35.476161803230106,24.099364827796258,1944500,408300,1381700,590600,PG
2013-01-08,26.15264320373535,18.62308120727539,35.091758728027344,24.229812622070312,26.28675983434126,18.79068264302037,35.25406120295294,24.42547682132149,26.125819366001778,18.539281104160764,34.895283023343985,24.131979278442085,26.206290879202502,18.713328890840057,35.21989123182298,24.33416702753796,2764800,551300,1473600,446700,PG
2013-01-09,26.233116149902344,18.545734405517578,36.01432800292969,24.6602725982666,26.2800565940465,18.64887360008883,36.17663049076576,24.6602725982666,26.01853053151126,18.429702504245874,35.12592823464914,24.21024224437808,26.21970422899511,18.623088186687927,35.271148994189254,24.32112018954085,2163000,838000,2393800,596000,PG
2013-01-10,26.36054039001465,18.713329315185547,36.33893585205078,24.65374755859375,26.454421322003437,18.726220787830776,36.38164668959407,24.76462549705347,26.17948321058047,18.54572787564002,36.1424633924492,24.58852699809149,26.30689268141332,18.623081629574415,36.26205504102164,24.69940244854631,1531600,708500,1920600,555000,PG
2013-01-11,26.28005599975586,18.84225845336914,36.475608825683594,24.549394607543945,26.414172647732993,18.848704806435695,36.6635371437341,24.666793613731333,26.17276319298661,18.706888727519946,36.21934056752184,24.425474540126167,26.320291761567688,18.752011969469677,36.21934056752184,24.660272552500942,1525200,536600,2067900,600100,PG
2013-01-14,26.179471969604492,18.93895149230957,36.475608825683594,24.549394607543945,26.38064567435217,18.958290551715464,36.561030492194945,24.56896027924016,26.13253152376545,18.829365948041776,36.24496641574971,24.49069510445025,26.293469464338614,18.880936773124166,36.43289799242792,24.523305386612293,1988500,577000,1139100,278700,PG
2013-01-15,26.139244079589844,18.951841354370117,36.50978088378906,24.595046997070312,26.15936068870579,18.958287706537977,36.59520255518581,24.621136215346798,25.964894165104184,18.829363122212726,36.24496848865453,24.50373722110741,26.15936068870579,18.90027176654321,36.270594338347976,24.54939210908886,1845000,412100,1053400,545300,PG
2013-01-16,25.931364059448242,18.874481201171875,36.49269485473633,24.732017517089844,26.159361684338357,18.996958162372998,36.65499732920231,24.777674903886897,25.92465937550882,18.8551421512117,36.42435491266994,24.575487146377082,26.06548076080654,18.932497121536844,36.42435491266994,24.718975392868266,2327100,462600,1258700,538900,PG
2013-01-17,25.951473236083984,18.93895149230957,36.75750732421875,24.895057678222656,26.058766044250262,18.98407596425666,36.76605144706744,25.116810987505406,25.884413632191105,18.861597713718268,36.467069061296975,24.855926351175356,26.01182560055641,18.880936773124166,36.543949873794745,24.882015561209563,3487600,558000,1340500,442200,PG
2013-01-18,26.29347038269043,18.984073638916016,36.62082290649414,25.129859924316406,26.31358954451161,19.022750523474173,37.13336263380368,25.129859924316403,26.018532379717946,18.90027228793802,36.509775402077025,24.829841421218944,26.018532379717946,18.971180934224634,37.13336263380368,25.01898449456473,2840200,407000,3014700,425500,PG
2013-01-22,26.72263526916504,19.280595779418945,36.80021667480469,25.1624698638916,26.769575705435198,19.280595779418945,36.82584252278942,25.195080134395553,26.320287941688832,18.984070989988446,36.467064357864814,24.986371417565284,26.3269926219866,18.990516111918833,36.578115130178105,25.077681170178007,2123900,639300,1300400,521600,PG
2013-01-23,26.668987274169922,19.280595779418945,36.71480178833008,25.05159568786621,26.709223025799602,19.299934833757558,37.005240093197884,25.25378337589592,26.36052085252732,19.12588703325749,36.56958426521045,24.999419744893576,26.595223008546334,19.28704213086515,36.8429375805415,25.195083885048877,1797400,857500,1294000,305000,PG
2013-01-24,26.762868881225586,19.21613311767578,36.89418411254883,25.403791427612305,26.92380933416065,19.33216498240063,37.36401311229943,25.80816429648088,26.622047583695974,19.171009887952962,36.706255771276695,25.084204773051965,26.655576098622777,19.32571863108083,36.82584742262117,25.162472415804135,1386200,1018700,1977700,1261300,PG
